%------------------------------------------------------------------------------
% Created by AISpace Dataset Generator v1.0 (Selim Temizer)
% Sat Feb 15 14:55:56 ALMT 2020
%------------------------------------------------------------------------------
% Number of Attributes                   : 25
% Percentage of Missing Attribute Values : 5
% Cardinality of Attributes              : 20
% Cardinality of Class Attribute         : 10
% Number of Training Instances           : 200
% Number of Test Instances               : 50
%------------------------------------------------------------------------------
% 'T:' Identifies the Attribute Title Line
% 'A:' Identifies Training Set Examples
% 'B:' Identifies Test Set Examples
%------------------------------------------------------------------------------

T:A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,Class;

A:a1v06,a2v15,a3v11,a4v15,a5v08,a6v05,a7v01,?,a9v20,a10v08,a11v19,a12v01,a13v13,a14v18,a15v03,a16v13,a17v09,a18v08,a19v10,a20v13,a21v12,a22v09,a23v01,a24v12,a25v15,c9;
A:a1v03,a2v02,a3v04,a4v01,a5v02,a6v18,a7v12,a8v18,a9v01,a10v17,a11v03,a12v13,a13v16,a14v17,a15v06,a16v13,a17v06,a18v03,a19v13,a20v14,a21v11,a22v11,a23v05,a24v06,a25v10,c10;
A:?,a2v07,a3v06,a4v17,a5v04,a6v04,a7v12,a8v02,a9v02,a10v20,a11v03,a12v13,?,a14v13,a15v04,a16v02,a17v08,a18v06,a19v09,a20v10,a21v18,a22v06,a23v06,a24v16,a25v04,c6;
A:a1v19,a2v20,a3v13,a4v07,a5v14,a6v17,a7v17,a8v11,a9v13,a10v12,a11v14,a12v11,a13v06,a14v20,a15v04,a16v14,a17v05,a18v20,a19v19,a20v02,a21v19,a22v15,a23v10,a24v17,a25v16,c5;
A:a1v03,a2v02,a3v01,a4v08,a5v04,a6v16,a7v10,a8v12,a9v04,a10v16,a11v08,a12v04,a13v19,a14v20,a15v18,?,a17v04,a18v09,a19v01,a20v09,a21v09,a22v16,a23v06,a24v06,a25v06,c3;
A:a1v20,a2v16,a3v14,a4v13,a5v17,a6v13,a7v14,?,a9v20,a10v20,?,a12v05,a13v18,a14v02,a15v17,a16v05,a17v09,a18v18,a19v08,a20v14,a21v15,a22v19,a23v20,a24v12,a25v10,c3;
A:a1v15,a2v05,a3v09,a4v15,a5v17,a6v08,a7v06,a8v01,a9v12,a10v12,a11v07,a12v08,a13v04,a14v04,a15v04,a16v10,a17v02,a18v02,a19v20,a20v11,a21v14,a22v10,a23v19,a24v11,a25v20,c9;
A:a1v07,a2v13,a3v19,a4v06,a5v06,a6v20,a7v03,a8v18,a9v20,a10v04,a11v15,a12v08,a13v01,a14v16,a15v04,a16v11,a17v18,a18v16,a19v02,a20v08,a21v10,a22v01,a23v07,a24v03,a25v17,c2;
A:?,a2v12,a3v20,a4v08,a5v05,a6v04,a7v14,a8v17,a9v15,a10v06,a11v07,a12v13,a13v19,a14v10,?,?,a17v20,a18v20,a19v04,a20v10,a21v10,a22v06,a23v11,a24v01,a25v02,c7;
A:?,a2v03,a3v02,a4v17,a5v02,a6v16,a7v18,a8v14,a9v12,a10v20,a11v20,a12v13,a13v13,a14v12,a15v08,?,a17v07,a18v19,a19v09,a20v16,a21v07,a22v13,a23v03,a24v12,a25v20,c5;
A:a1v07,a2v08,a3v12,a4v12,a5v09,a6v06,a7v09,a8v03,a9v07,a10v20,a11v04,a12v17,a13v11,a14v12,a15v20,a16v01,a17v10,a18v11,a19v15,a20v18,?,a22v18,a23v15,a24v11,?,c8;
A:a1v03,a2v06,a3v11,a4v05,a5v19,a6v06,a7v18,?,a9v09,a10v17,a11v02,a12v08,a13v04,a14v11,a15v18,a16v05,a17v17,a18v17,a19v11,a20v17,a21v11,a22v01,a23v14,a24v12,a25v07,c10;
A:a1v14,a2v05,a3v13,a4v03,?,a6v03,a7v10,a8v10,a9v04,?,a11v16,a12v16,a13v16,a14v01,a15v13,a16v10,a17v19,a18v20,a19v01,a20v18,a21v09,a22v20,a23v13,a24v07,a25v20,c6;
A:a1v14,a2v02,a3v14,a4v09,a5v17,a6v04,?,a8v13,a9v13,?,a11v08,a12v01,a13v20,a14v05,a15v05,a16v05,a17v05,a18v04,a19v14,a20v18,a21v14,a22v08,a23v11,a24v10,a25v12,c4;
A:a1v10,a2v20,a3v13,a4v14,a5v05,a6v16,a7v15,a8v06,a9v15,a10v20,a11v13,a12v19,a13v19,a14v17,a15v16,a16v13,a17v20,a18v18,a19v09,?,a21v20,a22v01,a23v02,a24v02,a25v11,c4;
A:a1v06,a2v07,a3v04,a4v05,a5v18,a6v09,a7v12,a8v13,a9v09,a10v06,a11v01,a12v11,?,a14v15,a15v05,a16v08,a17v11,a18v11,a19v15,a20v01,a21v07,a22v16,a23v03,a24v11,a25v05,c4;
A:a1v01,a2v01,a3v13,a4v02,a5v07,?,a7v14,a8v09,a9v12,a10v15,a11v09,a12v11,a13v19,a14v11,a15v10,a16v09,a17v07,a18v04,a19v15,a20v06,a21v02,a22v02,a23v07,a24v19,a25v04,c7;
