T:outlook,temperature,humidity,windy,play;

A:sunny,hot,high,false,no;
A:sunny,hot,high,true,no;
A:overcast,hot,high,false,yes;
A:rainy,mild,high,false,yes;
A:rainy,cool,normal,false,yes;
A:rainy,cool,normal,true,no;
A:overcast,cool,normal,true,yes;
A:sunny,mild,high,false,no;
A:sunny,cool,normal,false,yes;
A:rainy,mild,normal,false,yes;
A:sunny,mild,normal,true,yes;
A:overcast,mild,high,true,yes;
A:overcast,hot,normal,false,yes;
A:rainy,mild,high,true,no;

B:?,hot,high,false,no;
B:snowy,hot,high,true,no;
B:overcast,hot,high,false,yes;
B:rainy,mild,high,false,yes;
B:rainy,cool,normal,false,yes;
B:rainy,cool,normal,true,no;
B:overcast,cool,normal,true,yes;
B:sunny,mild,high,false,no;
B:sunny,cool,normal,false,yes;
B:rainy,mild,normal,false,yes;
B:sunny,mild,normal,true,yes;
B:overcast,mild,high,true,yes;
B:overcast,hot,normal,false,yes;
B:rainy,mild,high,true,no;
